url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP104&Crsname=教學原理,,,False,中學學程,STP104,0,不分班,教學原理,2,期,False,50,0,0,50,張至慶,社SS 2006,"['', '', '', '67', '', '', '']","《講授類》
本課程為教育專業課程，雙語授課",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP110&Crsname=教育概論,,,False,中學學程,STP110,0,不分班,教育概論,2,期,False,50,0,0,50,張至慶,社SS 2006,"['', '', '', 'B5', '', '', '']","《講授類》
本課程為教育專業課程，雙語授課",['環境教育學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP117&Crsname=班級經營,,,False,中學學程,STP117,0,不分班,班級經營,2,期,False,50,0,0,50,陳利銘,社SS 2005,"['', '', '', '34', '', '', '']","《講授類》
本課程為中等教育學程課程，需修畢(含當學期修習)教育基礎必選課程至少4學分、教育方法必選課程至少4學分，選修至少4學分，共計12學分，始得修習本課程。",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP118&Crsname=課程發展與設計,,,False,中學學程,STP118,0,不分班,課程發展與設計,2,期,False,50,0,0,50,周珮儀,社SS 2006,"['', '67', '', '', '', '', '']","《講授類》
本課程為教育學程課程",['環境教育學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP120&Crsname=青少年心理學,,,False,中學學程,STP120,0,不分班,青少年心理學,2,期,False,50,0,0,50,邱文彬,社SS 2005,"['34', '', '', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP121&Crsname=性別教育,,,False,中學學程,STP121,0,不分班,性別教育,2,期,False,50,0,0,50,林靜慧,社SS 2002-2,"['', '', '34', '', '', '', '']","《講授類》
本課程為教育學程課程","['性別研究學程', '性別與社會微學程', '性別與管理微學程']",False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP123&Crsname=教學媒體與運用,,,False,中學學程,STP123,0,不分班,教學媒體與運用,2,期,False,50,0,0,50,"張宇慧,陳菁徽","社SS 2006,社SS 3006","['', '28', '', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP133&Crsname=比較教育,,,False,中學學程,STP133,0,不分班,比較教育,2,期,False,50,0,0,50,林靜慧,社SS 2002-2,"['56', '', '', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP168&Crsname=學習心理學,,,False,中學學程,STP168,0,不分班,學習心理學,2,期,False,50,0,0,50,宋宥賢,社SS 2002-2,"['', '34', '', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP170&Crsname=心理學,,,False,中學學程,STP170,0,不分班,心理學,3,期,False,10,0,0,10,"邱文彬,馮雅群",社SS 2001,"['567', '', '', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False
